ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
1024	10	443.29	193.57	512.00	2
1024	10	443.29	195.42	519.80	4
1024	10	441.38	195.42	497.09	8
1024	10	882.76	393.85	360.56	16
1024	50	447.36	195.79	595.70	2
1024	50	447.16	196.17	527.84	4
1024	50	443.29	193.94	499.51	8
1024	50	883.52	395.37	376.47	16
1024	100	445.22	196.17	525.13	2
1024	100	906.19	394.00	562.64	4
1024	100	891.21	390.84	533.33	8
1024	100	565.75	251.60	379.26	16
1024	200	379.40	166.53	483.25	2
1024	200	400.16	175.34	556.52	4
1024	200	890.44	387.88	538.95	8
1024	200	565.75	252.22	375.09	16
1024	300	447.36	196.21	536.13	2
1024	300	882.76	386.56	669.28	4
1024	300	906.19	393.85	509.45	8
1024	300	882.76	390.99	439.48	16
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
8192	10	391.23	166.85	716.71	2
8192	10	518.15	221.29	1434.68	4
8192	10	458.42	195.75	2053.13	8
8192	10	892.37	388.80	2786.39	16
8192	50	461.26	197.07	847.16	2
8192	50	927.75	395.94	1258.37	4
8192	50	520.79	220.22	1969.23	8
8192	50	577.72	248.39	2037.81	16
8192	100	586.86	250.75	796.11	2
8192	100	927.85	396.34	1439.72	4
8192	100	586.82	250.60	2111.34	8
8192	100	902.20	393.30	2544.10	16
8192	200	922.63	394.05	1628.63	2
8192	200	586.82	250.76	1618.97	4
8192	200	586.82	250.45	2327.93	8
8192	200	900.22	393.49	2367.63	16
8192	300	922.52	394.04	1600.00	2
8192	300	922.63	394.04	1434.68	4
8192	300	912.25	389.72	2489.97	8
8192	300	904.19	395.75	3056.72	16
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
131072	10	924.09	391.82	1165.91	2
131072	10	931.18	396.16	1542.95	4
131072	10	930.45	396.07	3020.09	8
131072	10	902.15	387.85	6812.47	16
131072	50	925.98	394.06	1809.16	2
131072	50	925.65	394.07	3554.01	4
131072	50	914.55	389.36	6701.02	8
131072	50	902.21	392.67	10868.33	16
131072	100	920.39	391.65	1816.41	2
131072	100	925.39	393.99	3536.75	4
131072	100	909.66	387.19	6735.46	8
131072	100	923.11	393.74	11060.93	16
131072	200	930.26	396.00	1804.18	2
131072	200	925.92	394.06	3530.08	4
131072	200	909.41	386.63	6711.66	8
131072	200	895.92	387.65	10968.37	16
131072	300	924.34	396.05	1805.67	2
131072	300	915.51	389.48	3529.13	4
131072	300	919.87	390.94	6283.41	8
131072	300	924.48	393.69	10904.49	16
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
1048576	10	917.86	392.45	1806.44	2
1048576	10	898.67	385.29	3432.01	4
1048576	10	926.59	395.91	6661.47	8
1048576	10	917.22	391.47	12940.75	16
1048576	50	919.72	394.21	1836.11	2
1048576	50	919.71	390.00	3652.58	4
1048576	50	903.71	384.46	7148.78	8
1048576	50	903.20	384.89	12889.69	16
1048576	100	909.07	390.48	1814.91	2
1048576	100	909.15	389.87	3619.30	4
1048576	100	905.13	386.75	7148.29	8
1048576	100	907.97	389.11	12979.03	16
1048576	200	925.37	397.10	1847.56	2
1048576	200	917.22	392.69	3642.68	4
1048576	200	913.73	391.28	7200.27	8
1048576	200	918.54	387.87	12961.38	16
1048576	300	914.89	391.31	1826.16	2
1048576	300	919.43	393.25	3638.89	4
1048576	300	909.23	387.47	7147.32	8
1048576	300	916.14	393.07	12975.98	16
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
2097152	10	909.94	392.51	1814.75	2
2097152	10	908.52	386.61	3548.68	4
2097152	10	916.67	391.14	6517.79	8
2097152	10	904.40	386.94	11315.22	16
2097152	50	905.36	389.26	1797.19	2
2097152	50	916.65	391.80	3617.98	4
2097152	50	908.13	388.68	6371.07	8
2097152	50	904.71	389.13	10228.56	16
2097152	100	906.36	390.64	1804.82	2
2097152	100	914.48	391.60	3570.67	4
2097152	100	918.48	393.33	5790.23	8
2097152	100	888.03	387.53	11742.90	16
2097152	200	923.38	395.45	1823.94	2
2097152	200	918.89	392.85	3578.97	4
2097152	200	914.62	391.79	5717.01	8
2097152	200	904.48	387.82	11371.05	16
2097152	300	922.75	396.12	1832.77	2
2097152	300	918.58	392.31	3585.33	4
2097152	300	918.33	391.99	6590.71	8
2097152	300	896.78	389.04	11548.26	16
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
4194304	10	901.69	383.39	1798.64	2
4194304	10	906.54	386.98	3382.52	4
4194304	10	906.04	387.99	4004.90	8
4194304	10	900.10	392.02	5162.70	16
4194304	50	911.20	393.00	1810.12	2
4194304	50	908.11	389.72	3343.80	4
4194304	50	905.43	390.72	5893.64	8
4194304	50	903.78	388.50	3525.89	16
4194304	100	917.42	395.12	1789.42	2
4194304	100	919.98	394.29	3431.28	4
4194304	100	914.93	395.45	4777.03	8
4194304	100	904.72	391.04	7129.10	16
4194304	200	917.30	395.82	1812.11	2
4194304	200	916.34	394.91	3538.71	4
4194304	200	914.38	393.42	4159.51	8
4194304	200	889.14	390.29	7213.31	16
4194304	300	916.26	390.08	1822.69	2
4194304	300	921.37	395.11	3577.31	4
4194304	300	914.86	389.77	5832.66	8
4194304	300	901.76	392.29	8870.49	16
ArrLen	Tries	SSE Run	non-SSE run	Multithread Run	Threads
8388608	10	903.71	380.72	1783.75	2
8388608	10	899.78	382.84	3498.52	4
8388608	10	893.77	389.95	3909.41	8
8388608	10	908.13	389.32	3892.99	16
8388608	50	913.89	394.73	1798.06	2
8388608	50	915.01	390.06	3395.94	4
8388608	50	906.24	391.45	4007.04	8
8388608	50	911.11	392.46	3698.87	16
8388608	100	909.74	392.59	1777.43	2
8388608	100	913.41	394.59	3541.70	4
8388608	100	907.04	391.55	3967.06	8
8388608	100	896.12	390.57	3690.05	16
8388608	200	918.67	394.57	1828.48	2
8388608	200	902.47	389.33	3512.01	4
8388608	200	910.51	394.67	4168.59	8
8388608	200	890.16	392.03	3904.04	16
8388608	300	916.28	395.33	1825.00	2
8388608	300	914.23	390.01	3526.90	4
8388608	300	897.38	388.20	4659.10	8
8388608	300	892.85	390.59	3875.90	16
